"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-15;140х205;"Очень теплое";;;;;;;"Бамбуковое волокно,пэ";;;"400 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048005606;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОСБ-15 Одеяло ""Бамбук"" 140х205 классическое";45;1172;http://alvitek.com.ru/upload/iblock/986/98697daa813a1a7aa211e739c61ee28e.jpeg;"одеяло с наполнителем из бамбукового волокна 400 г/кв.м, чехол (100% хлопок) - сатин или перкаль, кант атласный, уголок, бирка, флажок, постер, в чемодане"
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-20;172х205;"Очень теплое";;;;;;;"Бамбуковое волокно,пэ";;;"400 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048005613;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОСБ-20 Одеяло ""Бамбук"" 172х205 классическое";40;1391;http://alvitek.com.ru/upload/iblock/fe3/fe36f2626a503dd0918d12668a51496c.jpeg;"одеяло с наполнителем из бамбукового волокна 400 г/кв.м, чехол (100% хлопок) - сатин или перкаль, кант атласный, уголок, бирка, флажок, постер, в чемодане"
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-22;200х220;"Очень теплое";;;;;;;"Бамбуковое волокно,пэ";;;"400 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048005620;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОСБ-22 Одеяло ""Бамбук"" 200х220 классическое";16;1689;http://alvitek.com.ru/upload/iblock/270/270006eb5dfc699de349596880c881fd.jpeg;"одеяло с наполнителем из бамбукового волокна 400 г/кв.м, чехол (100% хлопок) - сатин или перкаль, кант атласный, уголок, бирка, флажок, постер, в чемодане"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-семья-Октябрь;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000888598000;;;;;"Тональность изделия может отличаться от фото";;;;;"Октябрь КПБ Семья (5) ""Экзотика"" Поплин";4;1421;http://alvitek.com.ru/upload/iblock/bf8/bf814722dd5489fd4c4c40df6979d1d6.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-22-177;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925522524;;;;;"Тональность изделия может отличаться от фото";;;;;"B-177 КПБ евро сатин ""САЙЛИД""";2;2724;http://alvitek.com.ru/upload/iblock/657/657164c41eaab9ab34dd57be38a7af18.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-26-173;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925522555;;;;;"Тональность изделия может отличаться от фото";;;;;"B-173 КПБ семейный сатин ""САЙЛИД""";1;3206;http://alvitek.com.ru/upload/iblock/b65/b65a985da87b516984096ca5a065379f.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-26-174;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925522562;;;;;"Тональность изделия может отличаться от фото";;;;;"B-174 КПБ семейный сатин ""САЙЛИД""";1;3206;http://alvitek.com.ru/upload/iblock/ebb/ebb7e0e65eeba9ca378b8bd050437e1f.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-26-178;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925522593;;;;;"Тональность изделия может отличаться от фото";;;;;"B-178 КПБ семейный сатин ""САЙЛИД""";1;3206;http://alvitek.com.ru/upload/iblock/3e4/3e444c6ff72f704f2dc6f6c60fae34b6.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-26-179;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925522609;;;;;"Тональность изделия может отличаться от фото";;;;;"B-179 КПБ семейный сатин ""САЙЛИД""";2;3206;http://alvitek.com.ru/upload/iblock/d4b/d4b70b288f0ec292e6f71f84bf8b1815.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -8251";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"7 шт.";;;2000900101133;;;;;"Тональность изделия может отличаться от фото";;;;;"8251 Кофе В Неделька (40х60)х7шт в коробке Набор кухонный  Метеор";16;479;http://alvitek.com.ru/upload/iblock/fbf/fbffaf2df6de883253c7a9f63ffc6431.jpeg;
