"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
Наматрасник;Холфит;"AlViTek (АльВиТек)";Россия;;НФР-200;200х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Сумка оригинальная";;;;;4607048003220;;"Однотонный ,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НФР-200  Наматрасник с резинкой ""Холфит-Стандарт"" 200х200";3;1113;http://alvitek.com.ru/upload/iblock/1d7/1d7ab202ca7944f4b825ad856223038b.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), окантовка- бейка ПЭ, бирка, постер, в чемодане"
"Набор полотенец";;АРТЕКС;Китай;;АР-4290051-крем;30х50;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925503882;;;;;"Тональность изделия может отличаться от фото";;;;;"4290051 Кремовый 30х50х3шт с кружевом в коробке Набор  полотенец  АРТЕКС";1;255;http://alvitek.com.ru/upload/iblock/e3b/e3b317b1a0270cc9911fb5f2b7c21cd7.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Papatya -из 2-х-б";50х90+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560397;;;;;"Тональность изделия может отличаться от фото";;;;;"Бежевый-Кремовый Papatya ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";1;539;http://alvitek.com.ru/upload/iblock/920/920efd5dada3806ce2354f035bd225a5.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Papatya -из 2-х-н";50х90+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560410;;;;;"Тональность изделия может отличаться от фото";;;;;"Небесный-Кремовый Papatya ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";1;539;http://alvitek.com.ru/upload/iblock/ef8/ef8693f0828017d6f8912d198e9cf76a.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Papatya -из 2-х-м";50х90+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560403;;;;;"Тональность изделия может отличаться от фото";;;;;"Ментол-Кремовый Papatya ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";1;539;http://alvitek.com.ru/upload/iblock/0b3/0b31ce005bc4fb6d614ca7fe885a0ba8.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Papatya -из 2-х-с";50х90+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560441;;;;;"Тональность изделия может отличаться от фото";;;;;"Салатовый-Кремовый Papatya ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";3;539;http://alvitek.com.ru/upload/iblock/193/193357b44f906ddb2f4f2973b555ac44.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Papatya -из 2-х-р";50х90+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560434;;;;;"Тональность изделия может отличаться от фото";;;;;"Розовый-Кремовый Papatya ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";1;539;http://alvitek.com.ru/upload/iblock/f06/f065ffe2276988d22991d1fb2c753d9c.jpeg;
Наматрасник;Холфит;"AlViTek (АльВиТек)";Россия;;НФ-070;70х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048003862;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НФ-070  Наматрасник с резинкой ""Холфит-Традиция"" 70х200";2;273;http://alvitek.com.ru/upload/iblock/3d6/3d6243d10cf642fe2b0cafffeabd7ec8.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в чемодане"
Полотенце;;PHILIPPUS;Турция;;PHILIPPUS-9576;50х90;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;450г/м;2000925529059;;;;;;;;;;"9576 SOFT Бамбук 50х90 (6)  Полотенце PHILIPPUS";1;1404;http://alvitek.com.ru/upload/iblock/901/90186b52e45f0e4711bd98c4a2b7bbc6.jpeg;
Полотенце;;PHILIPPUS;Турция;;PHILIPPUS-9560;50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925529103;;;;;"Тональность изделия может отличаться от фото";;;;;"9560 SPORT Хлопок 50х90 ( 6шт )  Полотенце PHILIPPUS";4;1292;http://alvitek.com.ru/upload/iblock/7b8/7b8970ef3a8bb9fb872706fee833bd1e.jpeg;
Полотенце;;PHILIPPUS;Турция;;PHILIPPUS-9562;70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925529158;;;;;"Тональность изделия может отличаться от фото";;;;;"9562 SPORT Хлопок 70х140 ( 6шт )  Полотенце PHILIPPUS";4;2696;http://alvitek.com.ru/upload/iblock/89a/89ac72d3531f6d468088543889d31622.jpeg;
Полотенце;;PHILIPPUS;Турция;;PHILIPPUS-9564;50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925529110;;;;;"Тональность изделия может отличаться от фото";;;;;"9564 KRINKIL GREEK  Хлопок 50х90 ( 6шт )  Полотенце PHILIPPUS";5;1292;http://alvitek.com.ru/upload/iblock/85e/85e218280deb7e688acd4a4a0037202c.jpeg;
Полотенце;;PHILIPPUS;Турция;;PHILIPPUS-9565;70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;;;;;;"Тональность изделия может отличаться от фото";;;;;"9565 KRINKIL GREEK  Хлопок 70х140 ( 6шт )  Полотенце PHILIPPUS";5;2696;http://alvitek.com.ru/upload/iblock/fe2/fe246c7ceabc994aa86d5eabee0f439d.jpeg;
Полотенце;;PHILIPPUS;Турция;;PHILIPPUS-9554;70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925529141;;;;;"Тональность изделия может отличаться от фото";;;;;"9554 GREEK  Хлопок 70х140 ( 6шт )  Полотенце PHILIPPUS";2;2696;http://alvitek.com.ru/upload/iblock/a1a/a1ac3ed59f48eb2480bd6503803e27c6.jpeg;
Полотенце;;PHILIPPUS;Турция;;PHILIPPUS-9553;50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925529097;;;;;"Тональность изделия может отличаться от фото";;;;;"9553 GREEK  Хлопок 50х90 ( 6шт )  Полотенце PHILIPPUS";4;1292;http://alvitek.com.ru/upload/iblock/aa5/aa5d0e9eb8d67a7e2366fc18a7974b7e.jpeg;
Наматрасник;Бамбук;"AlViTek (АльВиТек)";Россия;;НСБР-080;80х200;;;;;;;;"Бамбуковое волокно,пэ";;;"300 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048006634;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"НСБР-080  Наматрасник с резинкой ""Бамбук"" 80х200";14;557;http://alvitek.com.ru/upload/iblock/325/3256f21a76a889a15c4e0d2fc1dcdcf3.jpeg;"наматрасник на резинке с наполнителем из бамбукового волокна 300 г/кв.м, чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м) , окантовка косая бейка, бирка, постер, в чемодане"
Одеяло;Bamboo;"AlViTek (АльВиТек)";Россия;Комфорт;ОББ-О-22;200х220;Теплое;;;;;;;"""Бамбуковое волокно""";;;"150 гр/кв.м";;;Полисатин;;;;;;"Многоигольная машина";"Бейка ПЭ";"Сумка оригинальная";;;;;4607048012888;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;"100% полиэстр";"ОББ-О-22 Одеяло ""Bamboo"" 200х220 легкое";16;538;http://alvitek.com.ru/upload/iblock/45d/45d5903b2d59bcb3053162c643968d14.jpeg;"одеяло с наполнителем ""бамбуковое волокно"" 150 г/кв.м, чехол - полисатин, бирка, постер, в сумке"
Одеяло;Холфит;"AlViTek (АльВиТек)";Россия;Традиция;ФБ-20;172х205;Теплое;;;;;;;Холфит-пласт;;;"400 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";Кант;"Сумка оригинальная";;;;;4607048002117;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ФБ-20  Одеяло 172х205 классическое";32;816;http://alvitek.com.ru/upload/iblock/52a/52a30e7fac001bccd64de9b7a025e79c.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 400 г/кв.м), чехол - ткань смесовая, кант, бирка, постер, в чемодане"
Одеяло;"Овечья шерсть";"AlViTek (АльВиТек)";Россия;Комфорт;МБ-О-140;140х205;Легкое;;;;;;;"Овечья шерсть,пэ";;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048004197;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"МБ-О-140  Одеяло 140х205 легкое";3;471;http://alvitek.com.ru/upload/iblock/4b1/4b1f46b6ddf36f8dc14847486e6f8bd1.jpeg;"одеяло с наполнителем из овечьей шерсти 200 г/кв.м, чехол -ПЭ, окантовка- бейка ПЭ, бирка, постер, в пакете с ручкой"
Одеяло;Холфит;"AlViTek (АльВиТек)";Россия;Стандарт;ОПФ-20;172х205;Теплое;;;;;;;Холфит-пласт;;;"400 гр/кв.м";;;Поликоттон;"70% хлопок/30% полиэстр";;;;;"Одноигольная машина";Кант;"Сумка оригинальная";;;;;4607048001769;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ОПФ-20  Одеяло 172х205 классическое";23;1178;http://alvitek.com.ru/upload/iblock/ae7/ae73356908f41379cf840aeb660a3329.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 400 г/кв.м), чехол - ткань смесовая (поликоттон; 70% - хлопок/30% - полиэстер; 120 г/кв.м) , кант, уголок, бирка, постер, в чемодане"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-20-535;Двуспальное;;;"70х70 (2шт.)";175х215;215х220;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925546322;;;;;"Тональность изделия может отличаться от фото";;;;;"535 КПБ 2сп (5) ""Экзотика"" Поплин";3;1021;http://alvitek.com.ru/upload/iblock/3f5/3f516e28bec0b8ed5997cdf9f3cd6440.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-Варна*;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925546414;;;;;"Тональность изделия может отличаться от фото";;;;;"Варна* КПБ евро (5) ""Экзотика"" Поплин";2;1169;http://alvitek.com.ru/upload/iblock/9e7/9e778cdf4164f43cc42a90884cb4ad1c.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
Покрывало;;Марианна;Россия;;"П-ло- 230х250 Жакк-108";230х250;;;;;;;;;;;;;;Жаккард-атлас;"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000900098525;;;;;"Тональность изделия может отличаться от фото";;;;;"108  230х250 Жаккард Атлас искусственный Покрывало ""I.M.A"" Марианна";1;892;http://alvitek.com.ru/upload/iblock/fbc/fbc1d33b368c1a80dc701440bcb2b6ab.jpeg;
Одеяло;"Овечья шерсть";"AlViTek (АльВиТек)";Россия;Традиция;ШБ-15;140х205;Теплое;;;;;;;"Овечья шерсть,пэ";;;"400 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";Кант;"Сумка оригинальная";;;;;4607048001837;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ШБ-15  Одеяло 140х205 классическое";16;683;http://alvitek.com.ru/upload/iblock/6e8/6e8f8bfec715a253750393d682301425.jpeg;"одеяло с наполнителем из овечьей шерсти 400 г/кв.м, чехол - ткань смесовая, кант, бирка, постер, в сумке"
"Простыня на резинке";"Простыня трикотажная на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-БЕЖ-120;120х200+20;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;2000900109962;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;"ПТР-БЕЖ-120 Бежевая простыня трикотажная на резинке 120х200х20";15;403;http://alvitek.com.ru/upload/iblock/ef4/ef42032ef1dc7568618a48a310369eb3.jpeg;
"Простыня на резинке";"Простыня трикотажная на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-Г-120;120х200+20;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;2000900109979;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;"ПТР-Г-120 Голубая простыня трикотажная на резинке 120х200х20";10;403;http://alvitek.com.ru/upload/iblock/b93/b93fbe4384450ab976d81fa603a96160.jpeg;
"Простыня на резинке";"Простыня трикотажная на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-МО-120;120х200+20;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;2000900109993;;Молочный;;;"Тональность изделия может отличаться от фото";;;;;"ПТР-МО-120 Молочный простыня трикотажная на резинке 120х200х20";12;403;http://alvitek.com.ru/upload/iblock/37e/37eee11bbd5c11386850afd5abee3d3e.jpeg;
"Простыня на резинке";"Простыня трикотажная на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-Ж-060х120х15;060х120+15;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;2000900109931;;"Нежно желтый";;;"Тональность изделия может отличаться от фото";;;;;"ПТР-Ж-060 Нежно желтый простыня трикотажная на резинке 060х120х15";3;242;http://alvitek.com.ru/upload/iblock/436/4361673c4c04f35e2b2c975067266078.jpeg;
"Простыня на резинке";"Простыня трикотажная на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-Р-060х120х15;060х120+15;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;2000900109948;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;"ПТР-Р-060  Розовая простыня трикотажная на резинке 060х120х15";3;242;http://alvitek.com.ru/upload/iblock/9ea/9ea229e87191c3bc065dce7ee6e31547.jpeg;
Покрывало;;Марианна;Россия;;"П-ло- 230х250 Жакк-111";230х250;;;;;;;;;;;;;;Жаккард-атлас;"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000925504308;;;;;"Тональность изделия может отличаться от фото";;;;;"111  230х250 Жаккард Атлас искусственный Покрывало ""I.M.A"" Марианна";2;892;http://alvitek.com.ru/upload/iblock/467/467b30a0b2b0de0d284165c358b7ee22.jpeg;
Подушка;Орто;"AlViTek (АльВиТек)";Россия;Стандарт;ОРТО-ЭРГО-1;50х30х8х10;;Упругая;;;;;;"Вязкоэластичная пена";;;;;;Трикотаж;"50% хлопок/50% полиэстр";Молния;;;;;;"Сумка оригинальная";;;;;4607048006917;;Пестротканный;;;"Тональность изделия может отличаться от фото";;;;;"Подушка ""ОРТО-ЭРГО-1"" 50х30х8х10";12;1223;http://alvitek.com.ru/upload/iblock/dc7/dc7d679bfcc2ef75d2a819e80b16b46f.jpeg;"Подушка: чехол-трикотаж. наполнитель- эргономическая вязкоэластичная пена, бирка, сумка"
Наперник;;"AlViTek (АльВиТек)";Россия;;НАП-060;60х60;;;;;;;;;;;;;;Тик;"100% хлопок";Молния;;;;;;Пакет;;"2 шт.";;;4607048008164;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"Наперник 2шт.-60х60 ткань тик импортный, с молнией";15;290;http://alvitek.com.ru/upload/iblock/f51/f51b60812a6a8ab827299d0803cc6e26.jpeg;"ткань(100% хлопок) - тик пуходержащий, молния, бирка, постер, пакет"
"Комплект постельного белья";;KAZANOV.A;Китай;;"KAZANOV.A сем-Патио";"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";155х210-2шт.;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;Коробка;;;;;2000900110401;;;;;"Тональность изделия может отличаться от фото";;;;;"КПБ семейный ""KAZANOV.A"" сатин Патио ( персик )";1;3544;http://alvitek.com.ru/upload/iblock/0c3/0c30f0ffd89fbf2cfc9c60e13e0a9ff3.jpeg;
"Комплект постельного белья";;KAZANOV.A;Китай;;"KAZANOV.A сем-Валерия мол";"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";155х210-2шт.;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;Коробка;;;;;2000900110395;;;;;"Тональность изделия может отличаться от фото";;;;;"КПБ семейный ""KAZANOV.A"" сатин Валерия (молоко)";2;3544;http://alvitek.com.ru/upload/iblock/fc8/fc8a205606a038226b838023ec3c1842.jpeg;
Подушка;Орто;"AlViTek (АльВиТек)";Россия;Стандарт;ОРТО-ЭРГО-2;60х40х110-130;;Упругая;;;;;;"Вязкоэластичная пена";;;;;;Трикотаж;"50% хлопок/50% полиэстр";Молния;;;;;;"Сумка оригинальная";;;;;4607048008775;;Пестротканный;;;"Тональность изделия может отличаться от фото";;;;;"Подушка ""ОРТО-ЭРГО-2"" 60х40х11/13";1;1382;http://alvitek.com.ru/upload/iblock/d74/d748525875667f09260b551c5cb77b92.jpeg;"Подушка: чехол-трикотаж. наполнитель- эргономическая вязкоэластичная пена, бирка, сумка"
"Набор полотенец";;"Атлас Текстиль";Турция;;"Ат-Лаван.в к из 2-х -св.";50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;480г/м;2000925527482;;;;;"Тональность изделия может отличаться от фото";;;;;"Светло Коричневый Лаванда в корзинке М ( 50х90+70х140) в коробке Атлас Текстиль";1;590;http://alvitek.com.ru/upload/iblock/27a/27ae9497181d5ea1f772b326925fed5a.jpeg;
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Традиция;ОМБ-15;140х205;Теплое;;;;;;;"Бамбуковое волокно,пэ";;;"300 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048007990;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОМБ-15 Одеяло ""Микрофибра-Бамбук"" 140х205 классическое-всесезонное";60;635;http://alvitek.com.ru/upload/iblock/583/58307ee58ff9b984260cafcaa2795fdb.jpeg;"одеяло с наполнителем из бамбукового волокна 300 г/кв.м, чехол - микрофибра, кант атласный, бирка, постер, в чемодане"
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Традиция;ОМБ-20;172х205;Теплое;;;;;;;"Бамбуковое волокно,пэ";;;"300 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048008003;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОМБ-20 Одеяло ""Микрофибра-Бамбук"" 172х205 классическое-всесезонное";39;737;http://alvitek.com.ru/upload/iblock/220/220317da17b25b92935881593c39e0d4.jpeg;"одеяло с наполнителем из бамбукового волокна 300 г/кв.м, чехол - микрофибра, кант атласный, бирка, постер, в чемодане"
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Традиция;ОМБ-22;200х220;Теплое;;;;;;;"Бамбуковое волокно,пэ";;;"300 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048008010;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОМБ-22 Одеяло ""Микрофибра-Бамбук"" 200х220 классическое-всесезонное";16;872;http://alvitek.com.ru/upload/iblock/248/248a46458200c235a8565e35867ef6c6.jpeg;"одеяло с наполнителем из бамбукового волокна 300 г/кв.м, чехол - микрофибра, кант атласный, бирка, постер, в чемодане"
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-097;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567389;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-097  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";10;1424;http://alvitek.com.ru/upload/iblock/148/1486467ade90ad4b47465a754f099872.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-098;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567396;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-098  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";8;1424;http://alvitek.com.ru/upload/iblock/2c1/2c10fa2b773dd33491e29d469aadf6b8.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-099;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567402;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-099  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";8;1424;http://alvitek.com.ru/upload/iblock/6a0/6a02c6cb98839e87b20c08d965b5600e.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-100;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567419;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-100  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";9;1424;http://alvitek.com.ru/upload/iblock/8df/8dfd44035fb58aff1247157d6493438e.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-101;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567426;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-101  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";8;1424;http://alvitek.com.ru/upload/iblock/b71/b715d66e7356a3e21684f8916089a772.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-102;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567433;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-102  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";10;1424;http://alvitek.com.ru/upload/iblock/3f0/3f0526da1885f1b50b183e23e8746bc5.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-103;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567440;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-103  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";4;1424;http://alvitek.com.ru/upload/iblock/865/86536f469574b276e2884927b1496850.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-104;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567457;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-104  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";10;1424;http://alvitek.com.ru/upload/iblock/1cf/1cf1a766f7178cf7b8359f3133a58a8f.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-105;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567464;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-105  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";10;1424;http://alvitek.com.ru/upload/iblock/66a/66aae4f6f223535d4458293d78da334c.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-1-106;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925567471;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-1-106  КПБ 1.5 Сатин печатный + нав-ки ( 70х70х2шт ) ""АльВиТек""";9;1424;http://alvitek.com.ru/upload/iblock/4b7/4b7bd0a64eda718129c720ebda7aa5ae.jpeg;
